,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
31,1,urbano,solteiro,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,sim,nao,nao,34,4,0,4,1.0,1.0
32,0,urbano,casado,mulher,preto ou pardo,superior incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,44,3,0,3,1.0,0.333333333333333
33,0,urbano,solteiro,mulher,preto ou pardo,superior completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,sim,sim,nao,nao,27,3,0,3,0.6,1.0
34,1,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,nao,nao,64,4,0,4,0.8,0.5
35,1,urbano,casado,mulher,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,nao,nao,66,9,5,4,1.8,0.5
36,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,nao,nao,40,2,0,2,0.5,1.0
37,1,urbano,solteiro,mulher,preto ou pardo,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,49,4,1,3,1.33333333333333,0.333333333333333
38,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,36,3,2,1,0.5,1.0
39,0,urbano,casado,mulher,preto ou pardo,fundam completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,52,6,1,5,1.2,0.6
40,1,urbano,solteiro,mulher,preto ou pardo,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,sim,nao,nao,24,3,1,2,0.6,1.0
